1131	1410	1066	1372	1196	1372	1131	1486
1218	1460	1153	1498	1283	1498	1218	1384
1305	1410	1240	1372	1370	1372	1305	1486
1392	1460	1327	1498	1457	1498	1392	1384
1479	1410	1414	1372	1544	1372	1479	1486
1566	1460	1501	1498	1631	1498	1566	1384
1653	1410	1588	1372	1718	1372	1653	1486
1740	1460	1675	1498	1805	1498	1740	1384
1827	1410	1762	1372	1892	1372	1827	1486
1914	1460	1849	1498	1979	1498	1914	1384
2001	1410	1936	1372	2066	1372	2001	1486
2088	1460	2023	1498	2153	1498	2088	1384
2175	1410	2110	1372	2240	1372	2175	1486
2262	1460	2197	1498	2327	1498	2262	1384
2349	1410	2284	1372	2414	1372	2349	1486
2436	1460	2371	1498	2501	1498	2436	1384
2523	1410	2458	1372	2588	1372	2523	1486
2610	1460	2545	1498	2675	1498	2610	1384
2697	1410	2632	1372	2762	1372	2697	1486
87	1611	22	1649	152	1649	87	1535
174	1561	109	1523	239	1523	174	1637
261	1611	196	1649	326	1649	261	1535
348	1561	283	1523	413	1523	348	1637
435	1611	370	1649	500	1649	435	1535
522	1561	457	1523	587	1523	522	1637
609	1611	544	1649	674	1649	609	1535
696	1561	631	1523	761	1523	696	1637
783	1611	718	1649	848	1649	783	1535
870	1561	805	1523	935	1523	870	1637
957	1611	892	1649	1022	1649	957	1535
1044	1561	979	1523	1109	1523	1044	1637
1131	1611	1066	1649	1196	1649	1131	1535
1218	1561	1153	1523	1283	1523	1218	1637
1305	1611	1240	1649	1370	1649	1305	1535
1392	1561	1327	1523	1457	1523	1392	1637
1479	1611	1414	1649	1544	1649	1479	1535
1566	1561	1501	1523	1631	1523	1566	1637
1653	1611	1588	1649	1718	1649	1653	1535
1740	1561	1675	1523	1805	1523	1740	1637
1827	1611	1762	1649	1892	1649	1827	1535
1914	1561	1849	1523	1979	1523	1914	1637
2001	1611	1936	1649	2066	1649	2001	1535
2088	1561	2023	1523	2153	1523	2088	1637
2175	1611	2110	1649	2240	1649	2175	1535
2262	1561	2197	1523	2327	1523	2262	1637
2349	1611	2284	1649	2414	1649	2349	1535
2436	1561	2371	1523	2501	1523	2436	1637
2523	1611	2458	1649	2588	1649	2523	1535
2610	1561	2545	1523	2675	1523	2610	1637
2697	1611	2632	1649	2762	1649	2697	1535
87	1712	22	1674	152	1674	87	1788
174	1762	109	1800	239	1800	174	1686
261	1712	196	1674	326	1674	261	1788
348	1762	283	1800	413	1800	348	1686
435	1712	370	1674	500	1674	435	1788
522	1762	457	1800	587	1800	522	1686
609	1712	544	1674	674	1674	609	1788
696	1762	631	1800	761	1800	696	1686
783	1712	718	1674	848	1674	783	1788
870	1762	805	1800	935	1800	870	1686
957	1712	892	1674	1022	1674	957	1788
1044	1762	979	1800	1109	1800	1044	1686
1131	1712	1066	1674	1196	1674	1131	1788
1218	1762	1153	1800	1283	1800	1218	1686
1305	1712	1240	1674	1370	1674	1305	1788
1392	1762	1327	1800	1457	1800	1392	1686
1479	1712	1414	1674	1544	1674	1479	1788
1566	1762	1501	1800	1631	1800	1566	1686
1653	1712	1588	1674	1718	1674	1653	1788
1740	1762	1675	1800	1805	1800	1740	1686
1827	1712	1762	1674	1892	1674	1827	1788
1914	1762	1849	1800	1979	1800	1914	1686
2001	1712	1936	1674	2066	1674	2001	1788
2088	1762	2023	1800	2153	1800	2088	1686
2175	1712	2110	1674	2240	1674	2175	1788
2262	1762	2197	1800	2327	1800	2262	1686
2349	1712	2284	1674	2414	1674	2349	1788
2436	1762	2371	1800	2501	1800	2436	1686
2523	1712	2458	1674	2588	1674	2523	1788
2610	1762	2545	1800	2675	1800	2610	1686
2697	1712	2632	1674	2762	1674	2697	1788
87	1913	22	1951	152	1951	87	1837
174	1863	109	1825	239	1825	174	1939
261	1913	196	1951	326	1951	261	1837
348	1863	283	1825	413	1825	348	1939
435	1913	370	1951	500	1951	435	1837
522	1863	457	1825	587	1825	522	1939
609	1913	544	1951	674	1951	609	1837
696	1863	631	1825	761	1825	696	1939
783	1913	718	1951	848	1951	783	1837
870	1863	805	1825	935	1825	870	1939
957	1913	892	1951	1022	1951	957	1837
1044	1863	979	1825	1109	1825	1044	1939
1131	1913	1066	1951	1196	1951	1131	1837
1218	1863	1153	1825	1283	1825	1218	1939
1305	1913	1240	1951	1370	1951	1305	1837
1392	1863	1327	1825	1457	1825	1392	1939
1479	1913	1414	1951	1544	1951	1479	1837
1566	1863	1501	1825	1631	1825	1566	1939
1653	1913	1588	1951	1718	1951	1653	1837
1740	1863	1675	1825	1805	1825	1740	1939
1827	1913	1762	1951	1892	1951	1827	1837
1914	1863	1849	1825	1979	1825	1914	1939
2001	1913	1936	1951	2066	1951	2001	1837
2088	1863	2023	1825	2153	1825	2088	1939
2175	1913	2110	1951	2240	1951	2175	1837
2262	1863	2197	1825	2327	1825	2262	1939
2349	1913	2284	1951	2414	1951	2349	1837
2436	1863	2371	1825	2501	1825	2436	1939
2523	1913	2458	1951	2588	1951	2523	1837
2610	1863	2545	1825	2675	1825	2610	1939
2697	1913	2632	1951	2762	1951	2697	1837
87	2014	22	1976	152	1976	87	2090
174	2064	109	2102	239	2102	174	1988
261	2014	196	1976	326	1976	261	2090
348	2064	283	2102	413	2102	348	1988
435	2014	370	1976	500	1976	435	2090
522	2064	457	2102	587	2102	522	1988
609	2014	544	1976	674	1976	609	2090
696	2064	631	2102	761	2102	696	1988
783	2014	718	1976	848	1976	783	2090
870	2064	805	2102	935	2102	870	1988
957	2014	892	1976	1022	1976	957	2090
1044	2064	979	2102	1109	2102	1044	1988
1131	2014	1066	1976	1196	1976	1131	2090
1218	2064	1153	2102	1283	2102	1218	1988
1305	2014	1240	1976	1370	1976	1305	2090
1392	2064	1327	2102	1457	2102	1392	1988
1479	2014	1414	1976	1544	1976	1479	2090
1566	2064	1501	2102	1631	2102	1566	1988
1653	2014	1588	1976	1718	1976	1653	2090
1740	2064	1675	2102	1805	2102	1740	1988
1827	2014	1762	1976	1892	1976	1827	2090
1914	2064	1849	2102	1979	2102	1914	1988
2001	2014	1936	1976	2066	1976	2001	2090
2088	2064	2023	2102	2153	2102	2088	1988
2175	2014	2110	1976	2240	1976	2175	2090
2262	2064	2197	2102	2327	2102	2262	1988
2349	2014	2284	1976	2414	1976	2349	2090
2436	2064	2371	2102	2501	2102	2436	1988
2523	2014	2458	1976	2588	1976	2523	2090
2610	2064	2545	2102	2675	2102	2610	1988
2697	2014	2632	1976	2762	1976	2697	2090
87	2215	22	2253	152	2253	87	2139
174	2165	109	2127	239	2127	174	2241
261	2215	196	2253	326	2253	261	2139
348	2165	283	2127	413	2127	348	2241
435	2215	370	2253	500	2253	435	2139
522	2165	457	2127	587	2127	522	2241
609	2215	544	2253	674	2253	609	2139
696	2165	631	2127	761	2127	696	2241
783	2215	718	2253	848	2253	783	2139
870	2165	805	2127	935	2127	870	2241
957	2215	892	2253	1022	2253	957	2139
1044	2165	979	2127	1109	2127	1044	2241
1131	2215	1066	2253	1196	2253	1131	2139
1218	2165	1153	2127	1283	2127	1218	2241
1305	2215	1240	2253	1370	2253	1305	2139
1392	2165	1327	2127	1457	2127	1392	2241
1479	2215	1414	2253	1544	2253	1479	2139
1566	2165	1501	2127	1631	2127	1566	2241
1653	2215	1588	2253	1718	2253	1653	2139
1740	2165	1675	2127	1805	2127	1740	2241
